基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="000AEFGLIU",天利(盧森堡)-環球資產配置基金I(美元),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS IU-USD,USD,="LU0096360051",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AEFGLIUE",天利(盧森堡)-環球資產配置基金I(歐元),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS IU-EUR,EUR,="LU0757429831",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFEUA",天利(盧森堡)-美國選擇基金(美元),Threadneedle (Lux)-AMERICAN SELECT-CLASS AU-USD,USD,="LU0112528004",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFEUAE",天利(盧森堡)-美國選擇基金(歐元),Threadneedle (Lux)-AMERICAN SELECT-CLASS AU-EUR,EUR,="LU0757425763",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFEUAEH",天利(盧森堡)-美國選擇基金(歐元避險),Threadneedle (Lux)-AMERICAN SELECT-CLASS AEH-EUR,EUR,="LU0198732421",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFIEH",天利(盧森堡)-美國選擇基金I(歐元避險),Threadneedle(Lux)-AMERICAN SELECT-CLASS IEH,EUR,="LU0329575525",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFUIU",天利(盧森堡)-美國選擇基金I(美元),Threadneedle(Lux)-AMERICAN SELECT-CLASS IU,USD,="LU0112529820",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEFUIUE",天利(盧森堡)-美國選擇基金I(歐元),Threadneedle(Lux)-AMERICAN SELECT-CLASS IU-EUR,EUR,="LU0810610682",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGEMIEH",天利(盧森堡)-新興市場公司債券基金I(歐元避險),Threadneedle(Lux)-EMERGING MARKET CORPORATE BONDS-CLASS IEH-EUR,EUR,="LU0248373861",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGLEE",天利(盧森堡)-全球能源股票基金(美元),Threadneedle (Lux)- GLOBAL ENERGY EQUITIES -CLASS AU - USD,USD,="LU0143868585",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGLEEE",天利(盧森堡)-全球能源股票基金(歐元),Threadneedle (Lux)- GLOBAL ENERGY EQUITIES -CLASS AU - EUR,EUR,="LU0757430680",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEGLEEEH",天利(盧森堡)-全球能源股票基金(歐元避險),Threadneedle (Lux)- GLOBAL ENERGY EQUITIES -CLASS AEH - EUR,EUR,="LU0198729633",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBA",天利(盧森堡)-美國高收益債券基金(美元),Threadneedle(Lux)-US HIGH YIELD BOND-AU-USD,USD,="LU0180519315",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBAE",天利(盧森堡)-美國高收益債券基金(歐元),Threadneedle(Lux)-US HIGH YIELD BOND-AU-EUR,EUR,="LU0757433510",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBAEH",天利(盧森堡)-美國高收益債券基金(歐元避險),Threadneedle(Lux)-US HIGH YIELD BOND-AEH-EUR,EUR,="LU0180519406",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEHIBAUP",天利(盧森堡)-美國高收益債券基金(美元配息),Threadneedle(Lux)-US HIGH YIELD BOND-AUP-USD,USD,="LU0259967718",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMESTAU",天利(盧森堡)-全球新興市場短期債券基金(美元),Threadneedle (Lux)- GLOBAL EMERGING MARKET SHORT-TERM BONDS - AU - USD,USD,="LU0198726373",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMESTAUE",天利(盧森堡)-全球新興市場短期債券基金(歐元),Threadneedle (Lux)- GLOBAL EMERGING MARKET SHORT-TERM BONDS - AU - EUR,EUR,="LU0757430334",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMESTAUEH",天利(盧森堡)-全球新興市場短期債券基金(歐元避險),Threadneedle (Lux)- GLOBAL EMERGING MARKET SHORT-TERM BONDS - AEH - EUR,EUR,="LU0198725300",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMESTAUEP",天利(盧森堡)-全球新興市場短期債券基金(歐元避險配息),Threadneedle (Lux)- GLOBAL EMERGING MARKET SHORT-TERM BONDS - AEC - EUR,EUR,="LU0348324392",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMESTAUUP",天利(盧森堡)-全球新興市場短期債券基金(美元配息),Threadneedle (Lux)- GLOBAL EMERGING MARKET SHORT-TERM BONDS - AUP - USD,USD,="LU0281377290",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMEXIEH",天利(盧森堡)-全球新興市場短期債券基金I(歐元避險),Threadneedle(Lux)-GLOBAL EMERGING MARKET SHORT-TERM BONDS-IEH-EUR,EUR,="LU0329574395",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMGEMAU",天利(盧森堡)-新興市場公司債券基金(美元),Threadneedle (Lux)- EMERGING MARKET CORPORATE BONDS- CLASS AU- USD,USD,="LU0640468533",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMGEMAUE",天利(盧森堡)-新興市場公司債券基金(歐元),Threadneedle (Lux)- EMERGING MARKET CORPORATE BONDS- CLASS AU- EUR,EUR,="LU0757426498",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMGEMAUEH",天利(盧森堡)-新興市場公司債券(歐元避險),Threadneedle (Lux)- EMERGING MARKET CORPORATE BONDS- CLASS AEH- EUR,EUR,="LU0143865482",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMGEMAUEP",天利(盧森堡)-新興市場公司債券(歐元避險配息),Threadneedle (Lux)-Emerging Market Corporate Bonds- Class AEC-EUR,EUR,="LU0713368677",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMGEMAUUP",天利(盧森堡)-新興市場公司債券(美元配息),Threadneedle (Lux)- EMERGING MARKET CORPORATE BONDS- CLASS AUP- USD,USD,="LU0198719758",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMGEMIU",天利(盧森堡)-新興市場公司債券基金I(美元),Threadneedle(Lux)-EMERGING MARKET CORPORATE BONDS-CLASS IU-USD,USD,="LU0329571961",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMUSIEH",天利(盧森堡)-北美基金I(歐元避險),Threadneedle(Lux)-American-CLASS IEH-EUR,EUR,="LU0329575285",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000AMXEMDIEH",天利(盧森堡)-新興市場債券基金I(歐元避險),Threadneedle(Lux)-EMERGING MARKET DEBT-CLASS IEH-EUR,EUR,="LU0329574122",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEMDI",天利(盧森堡)-新興市場債券基金(美元),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS AU - USD,USD,="LU0061474614",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEMDIE",天利(盧森堡)-新興市場債券基金(歐元),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS AU - EUR,EUR,="LU0757426738",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEMDIEH",天利(盧森堡)-新興市場債券基金(歐元避險),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS AEH - EUR,EUR,="LU0198725649",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEMDIEP",天利(盧森堡)-新興市場債券基金(歐元避險配息),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS AEC - EUR,EUR,="LU0348323824",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEMDIUP",天利(盧森堡)-新興市場債券基金(美元配息),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS AUP - USD,USD,="LU0198726027",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEUEI",天利(盧森堡)-泛歐洲股票基金(歐元),Threadneedle (Lux)- PAN EUROPEAN EQUITIES-CLASS AE-EUR,EUR,="LU0061476155",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEUEIU",天利(盧森堡)-泛歐洲股票基金(美元),Threadneedle (Lux)- PAN EUROPEAN EQUITIES-CLASS AE-USD,USD,="LU0757432116",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEUIE",天利(盧森堡)-泛歐洲股票基金I(歐元),Threadneedle(Lux)-PAN EUROPEAN EQUITIES-CLASS IE-EUR,EUR,="LU0329573405",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCEUIEU",天利(盧森堡)-泛歐洲股票基金I(美元),Threadneedle(Lux)-PAN EUROPEAN EQUITIES-CLASS IE-USD,USD,="LU0757432389",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCGSBI",天利(盧森堡)-環球資產配置基金(美元),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION-CLASS AU-USD,USD,="LU0061474705",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCGSBIE",天利(盧森堡)-環球資產配置基金(歐元),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS AU-EUR,EUR,="LU0757429674",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCGSBIEH",天利(盧森堡)-環球資產配置基金(歐元避險),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS AEH-EUR,EUR,="LU0198727850",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCGSBIEP",天利(盧森堡)-環球資產配置基金(歐元避險配息),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION-CLASS AEC-EUR,EUR,="LU0348324558",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCGSBIUP",天利(盧森堡)-環球資產配置基金(美元配息),Threadneedle(Lux)-GLOBAL ASSET ALLOCATION -CLASS AUP-USD,USD,="LU0276348264",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCLCEI",天利(盧森堡)-北美基金(美元),Threadneedle (Lux)- American - CLASS AU - USD,USD,="LU0061475181",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCLCEIE",天利(盧森堡)-北美基金(歐元),Threadneedle (Lux)- American - CLASS AU - EUR,EUR,="LU0757425094",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCLCEIEH",天利(盧森堡)-北美基金(歐元避險),Threadneedle (Lux)- American - CLASS AEH - EUR,EUR,="LU0198731290",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCLCIU",天利(盧森堡)-北美基金I(美元),Threadneedle(Lux)-American-CLASS IU-USD,USD,="LU0096364715",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCLCIUE",天利(盧森堡)-北美基金I(歐元),Threadneedle(Lux)-American-CLASS IU-EUR,EUR,="LU0757425250",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCWDEI",天利(盧森堡)-全球焦點基金(美元),Threadneedle(Lux)-Global Focus-Class AU-USD,USD,="LU0061474960",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCWDEIE",天利(盧森堡)-全球焦點基金(歐元),Threadneedle(Lux)-Global Focus-Class AU-EUR,EUR,="LU0757431068",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000EPCWDEIEH",天利(盧森堡)-全球焦點基金(歐元避險),Threadneedle(Lux)-Global Focus-Class AEH-EUR,EUR,="LU0198728585",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000SBEMDI",天利(盧森堡)-新興市場債券基金(上銀金鑽類股美元),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS SU - USD,USD,="LU0202640719",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000SBEMDIE",天利(盧森堡)-新興市場債券基金(上銀金鑽類股歐元),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS SU - EUR,EUR,="LU0757426902",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000SBEMDIUP",天利(盧森堡)-新興市場債券基金(上銀金鑽類股美元配息),Threadneedle (Lux)- EMERGING MARKET DEBT - CLASS SUP - USD,USD,="LU0202641105",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000TAMERBU",天利(盧森堡)-北美基金B(美元),Threadneedle (Lux)-AMERICAN-CLASS BU-USD,USD,="LU1363760122",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000TASCRIE",天利投資基金-美國小型公司股票基金第一類淨收入(歐元計價),Threadneedle Investment Funds ICVC- American Smaller Companies Fund (US) Class 1 Net Income EUR,EUR,="GB00B0H6DT06",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TDASRNA",天利投資基金-美國小型公司股票基金第一類淨累計(歐元計價),Threadneedle Investment Funds ICVC- American Smaller Companies Fund (US) Class 1 Net Accumulation EUR,EUR,="GB00B0WGY707",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TDNASC1",天利投資基金-美國小型公司股票基金第一類淨累計(美元),Threadneedle Investment Funds ICVC- American Smaller Companies Fund (US) Class 1 Net Accumulation USD,USD,="GB0002769643",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TDNASC2",天利投資基金-美國小型公司股票基金第二類淨累計(美元),Threadneedle Investment Funds ICVC- American Smaller Companies Fund (US) Class 2 Net Accumulation USD,USD,="GB0030809916",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TDNESL1LN",天利投資基金-歐洲精選股票基金第一類淨累計(歐元),Threadneedle Investment Funds ICVC- European Select Fund Class 1 Net Accumulation EUR,EUR,="GB0002771169",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TDNESL2LN",天利投資基金-歐洲精選股票基金第二類淨累計(歐元),Threadneedle Investment Funds ICVC- European Select Fund Class 2 Net Accumulation EUR,EUR,="GB0030810138",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEDINALN",天利投資專業基金-天利全球股票收入基金第二類淨累計(美元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 2 Accumulation USD,USD,="GB00B1Z2NG45",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEDINILN",天利投資專業基金-天利全球股票收入基金第二類淨收入(美元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 2 Income USD,USD,="GB00B1Z2N865",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEDRNALN",天利投資專業基金-天利全球股票收入基金第一類淨累計(美元),Threadneedle Specialist Investment Funds ICVC- Global Equity Income Fund class 1 Accumulation USD,USD,="GB00B1Z2NC07",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEDRNILN",天利投資專業基金-天利全球股票收入基金第一類淨收入(美元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 1 Income USD,USD,="GB00B1Z2MZ68",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEEBUU",天利(盧森堡)-全球能源股票基金B(美元),Threadneedle (Lux)-GLOBAL ENERGY EQUITIES-CLASS BU-USD,USD,="LU1363761013",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000TGEEINALN",天利投資專業基金-天利全球股票收入基金第二類淨累計(歐元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 2 Accumulation EUR,EUR,="GB00B1Z2NS66",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEEINILN",天利投資專業基金-天利全球股票收入基金第二類淨收入(歐元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 2 Income EUR,EUR,="GB00B1Z2NP36",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEERNALN",天利投資專業基金-天利全球股票收入基金第一類淨累計(歐元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 1 Accumulation EUR,EUR,="GB00B1Z2NR59",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TGEERNILN",天利投資專業基金-天利全球股票收入基金第一類淨收入(歐元),Threadneedle Specialist Investment Funds ICVC-Global Equity Income Fund class 1 Income EUR,EUR,="GB00B1Z2NM05",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000THGAABU",天利(盧森堡)-環球資產配置基金B(美元),Threadneedle (Lux)-GLOBAL ASSET ALLOCATION-CLASS BU-USD,USD,="LU1363760478",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000THGEMIALN",天利投資專業基金-天利全球股票收入基金M股淨收入(澳元避險),Threadneedle Specialist Investment Funds ICVC- Global Equity Income Fund class M Net Income AUD Hedged,AUD,="GB00BV8BT933",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000THGEMIULN",天利投資專業基金-天利全球股票收入基金M股淨收入(美金),Threadneedle Specialist Investment Funds ICVC- Global Equity Income Fund class M Net Income USD,USD,="GB00BVG2K518",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000THGFBUU",天利(盧森堡)-全球焦點基金B(美元),Threadneedle (Lux)-GLOBAL FOCUS-CLASS BU-USD,USD,="LU1363760718",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000THUHIEH",天利(盧森堡)-美國高收益債券基金I(歐元避險),Threadneedle(Lux)-US HIGH YIELD BOND-IEH-EUR,EUR,="LU0329574551",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000TNESIIE",天利投資基金-歐洲精選股票基金第二類淨收入(歐元),Threadneedle Investment Funds ICVC- European Select Fund Class 2 Net Income EUR,EUR,="GB00BWCH5293",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TNESINA",天利投資基金-歐洲精選股票基金第二類淨累計(美元避險),Threadneedle Investment Funds ICVC- European Select Fund Class 2 Hedged Net Accumulation USD,USD,="GB00BT6SPZ01",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TNESRIE",天利投資基金-歐洲精選股票基金第一類淨收入(歐元),Threadneedle Investment Funds ICVC- European Select Fund Class 1 Net Income EUR,EUR,="GB00BWCH5186",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TNESRNA",天利投資基金-歐洲精選股票基金第一類淨累計(美元避險),Threadneedle Investment Funds ICVC- European Select Fund Class 1 Hedged Net Accumulation USD,USD,="GB00BT6SQ139",A0021,柏瑞證券投資信託股份有限公司,="108",THREADNEEDLE INVESTMENT SERVICES LIMITED,
="000TPEEAUH",天利(盧森堡)-泛歐洲股票基金 (美元避險),Threadneedle (Lux)- PAN EUROPEAN EQUITIES - Class AUH,USD,="LU0972486137",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="000TPEEBUH",天利(盧森堡)-泛歐洲股票基金B(美元避險),Threadneedle (Lux)-PAN EUROPEAN EQUITIES-CLASS BUH-USD,USD,="LU1363760809",A0021,柏瑞證券投資信託股份有限公司,="017",天利管理(盧森堡)有限公司/THREADNEEDLE MANAGEMENT LUXEMBOURG S.A.,
="008201",標智上證50中國指數基金,W.I.S.E.- SSE 50 China Tracker,HKD,="HK0000052297",A0041,凱基證券投資信託股份有限公司,="089",中銀國際英國保誠資產管理有限公司/BOCI-PRUDENTIAL ASSET MANAGEMENT LIMITED,
="0125",富蘭克林坦伯頓全球投資系列-全球核心策略基金歐元A(Ydis)股,Franklin Templeton Investment Funds-Franklin Global Fundamental Strategies Fund Class A (Ydis) EUR,EUR,="LU0343523998",B0029,富蘭克林證券投資顧問股份有限公司,="116",富蘭克林坦伯頓國際服務有限公司/FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,
="0152",富蘭克林坦伯頓全球投資系列-全球核心策略基金美元A(acc)股,Franklin Templeton Investment Funds-Franklin Global Fundamental Strategies Fund Class A (acc) USD,USD,="LU0316494557",B0029,富蘭克林證券投資顧問股份有限公司,="116",富蘭克林坦伯頓國際服務有限公司/FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,
="0154",富蘭克林坦伯頓全球投資系列-全球核心策略基金歐元A(acc)股,Franklin Templeton Investment Funds-Franklin  Global Fundamental Strategies Fund Class A (acc) EUR,EUR,="LU0316494805",B0029,富蘭克林證券投資顧問股份有限公司,="116",富蘭克林坦伯頓國際服務有限公司/FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,
="0270",富蘭克林坦伯頓全球投資系列-泰國基金美元B(acc)股,Franklin Templeton Investment Funds-Templeton Thailand Fund Class B(acc) USD,USD,="LU0260865315",B0029,富蘭克林證券投資顧問股份有限公司,="116",富蘭克林坦伯頓國際服務有限公司/FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,
="0271",富蘭克林坦伯頓全球投資系列-中小型企業基金美元B (acc)股,Templeton Global Smaller Companies Fund Class B (acc) USD,USD,="LU0260865745",B0029,富蘭克林證券投資顧問股份有限公司,="116",富蘭克林坦伯頓國際服務有限公司/FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,
="0272",富蘭克林坦伯頓全球投資系列-拉丁美洲基金美元B(acc)股,Franklin Templeton Investment Funds-Templeton Latin America Fund Class B(acc) USD,USD,="LU0260865828",B0029,富蘭克林證券投資顧問股份有限公司,="116",富蘭克林坦伯頓國際服務有限公司/FRANKLIN TEMPLETON INTERNATIONAL SERVICES SARL,
