基金代碼,基金中文名稱,基金英文名稱,幣別,ISINCODE,總代理機構代碼,總代理機構名稱,境外基金機構代碼,境外基金機構名稱,基金狀態
="2003AS",景順亞洲富強基金A-半年配息股 美元,Invesco Asia Consumer Demand Fund A-SD USD,USD,="LU0334857199",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2003CC",景順亞洲富強基金C股 美元,Invesco Asia Consumer Demand Fund C USD,USD,="LU0334857512",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2006AA",景順亞洲棟樑基金A股 美元,Invesco Asia Infrastructure Fund A USD,USD,="LU0243955886",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2006AS",景順亞洲棟樑基金A-半年配息股 美元,Invesco Asia Infrastructure Fund A-SD USD,USD,="LU0243955530",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2006CC",景順亞洲棟樑基金C股 美元,Invesco Asia Infrastructure Fund C USD,USD,="LU0243956009",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2015AA",景順亞洲機遇股票基金A股 美元,Invesco Asia Opportunities Equity Fund A USD,USD,="LU0075112721",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2015BB",景順亞洲機遇股票基金B股 美元,Invesco Asia Opportunities Equity Fund B USD,USD,="LU0130705550",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2015CC",景順亞洲機遇股票基金C股 美元,Invesco Asia Opportunities Equity Fund C USD,USD,="LU0100597474",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="20240339",瑞銀(盧森堡)美國總收益股票基金(美元),UBS (Lux) Equity SICAV - US Total Yield (USD) P-acc,USD,="LU0868494617",A0015,瑞銀證券投資信託股份有限公司,="018",瑞士銀行股份有限公司/UBS AG,
="2030AA",景順美元儲備基金A股 美元,Invesco USD Reserve Fund A USD,USD,="LU0028121183",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2030CC",景順美元儲備基金C股 美元,Invesco USD Reserve Fund C USD,USD,="LU0100597557",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2033AA",景順歐洲企業債券基金A股 歐元,Invesco Euro Corporate Bond Fund A EUR,EUR,="LU0243957825",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2033AM",景順歐洲企業債券基金A-月配息股 歐元,Invesco Euro Corporate Bond Fund A-MD EUR,EUR,="LU0248037169",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2033CC",景順歐洲企業債券基金C股 歐元,Invesco Euro Corporate Bond Fund C EUR,EUR,="LU0243958047",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2036A6",景順新興貨幣債券基金A(歐元對沖)股 歐元,Invesco Emerging Local Currencies Debt Fund A(EUR Hgd) EUR,EUR,="LU0367024865",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2036AA",景順新興貨幣債券基金A股 美元,Invesco Emerging Local Currencies Debt Fund A USD,USD,="LU0275062247",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2036AF",景順新興貨幣債券基金A-固定月配息股 美元,Invesco Emerging Local Currencies Debt Fund A-FD USD,USD,="LU0275062080",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2036C6",景順新興貨幣債券基金C(歐元對沖)股 歐元,Invesco Emerging Local Currencies Debt Fund C(EUR Hgd) EUR,EUR,="LU0367024949",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
="2036CC",景順新興貨幣債券基金C股 美元,Invesco Emerging Local Currencies Debt Fund C USD,USD,="LU0275062593",A0006,景順證券投資信託股份有限公司,="008",景順投資管理亞洲有限公司/INVESCO ASSET MANAGEMENT ASIA LIMITED,
